评论者,评论内容,评分,评论时间,产品型号,地区
主***加,泸州老窖 过年 几箱 送人 颜色 喜庆 品牌 值得 信赖 京东 快递 特别 到位 楼上 楼下 送货上门 性价比 高 商品,5,2024-02-26 15:53:50,六年窖头曲 52度500mL 整箱,天津
刘***善,好 品牌 值得 信赖 龙年 礼盒 好 下次 还会来 礼盒 快递 快 好 酒 好喝 还配 杯子 下次 还会来 太好了,5,2024-02-01 11:10:46,52度 500mL 2瓶 龙行大运礼盒,天津
阿***6,真不错 酒 挺 好 正宗 泸州老窖 嫡系 强烈推荐 感觉 评价 不知 浪费 京豆 真的 不错 妥妥 每次 写 一百多 字 N 次 JD 东西 棒棒 棒 好 厉害 好 东西 便宜 质量 好 物美价廉 放心 开心 感觉 上瘾 买买 停不下来 东西 品种 特别 全 划算 实惠 包装 好 损坏 支持 服务 说 点儿,5,2024-02-02 09:06:35,52度 1L 6瓶 蓝花瓷头曲大容量,甘肃
j***a,心心念念 终于 收到 商品 包装 价格 美丽 回来 送人 一份 品尝 一份 香型 口感 价格 匹配 物流 承诺 兑现 小年 收到 货 好 回购,5,2024-02-02 11:34:21,52度 500mL 2瓶 好事成双礼盒,海南
w***i,实物 描述 质量 好 快递 包装 完美 送货 速度 飞快 送礼 倍儿 面子 卖家 态度 有问必答 发货 速度 杠杠 值得 购买,5,2024-02-03 00:54:04,52度 500mL 2瓶 龙行大运礼盒,河北
j***c,过年 买个 老人 口粮 酒 纯粮 酿造 好喝 上头 款 性价比 高 值得 入手 品牌 放心 质量 好 赶上 活动 购买 划算,5,2024-02-01 22:12:10,六年窖头曲 52度500mL 整箱,山东
查***_,同学聚会 一箱 不错 性价比 好 京东 搞 活动 划算 泸州老窖 值得 回购 一款 酒 没喝 试试,5,2024-02-03 19:29:48,六年窖头曲 52度500mL 单瓶,江苏
j***5,终于 下手 这酒 真的 没话说 无论是 送 亲戚朋友 品尝 不错 物美价廉 活动 赶紧 囤,5,2024-02-15 07:06:00,六年窖头曲 52度500mL 整箱,河北
大***_,泸州老窖 年 窖 喜欢 长辈 眼里 口碑 好 过年 走亲戚 三份 家里 长辈 性价比 好 酒 好 客服 售后 好 真的 真的,5,2024-01-30 09:36:29,六年窖头曲 路路顺 礼盒,吉林
j***r,龙 年 礼盒 过年 送礼 礼盒 很漂亮 送礼 挺 好 京东 自营 送货上门 快 泸州老窖 老牌子 酒 不错,5,2024-02-15 15:20:50,52度 500mL 2瓶 龙行大运礼盒,湖南
沧***7,款 泸州老窖 头 曲酒 包装 精美 送人 不错 高度 酒 整箱 更 优惠 几箱 送人 送礼 这款 酒 不错 推荐,5,2024-01-31 15:45:37,六年窖头曲 52度500mL 整箱,辽宁
p***w,过年 家人 研究 久 款 性价比 高 口粮 款 比不上 特曲 总得 包装 仔细 送 三个 礼品袋,5,2024-02-14 00:12:22,六年窖头曲 52度500mL 整箱,四川
j***3,泸州老窖 六年 窖 头曲 依旧 采用 单粮 浓香 酒 传统 酿造 工艺 酒体 清澈 透明 窖 香 口感 醇厚 不口 干 头疼 性价比 高 口粮 带 包装 送 亲朋 合适 京东 购物 速度快 节假日 不休 赞,5,2024-02-18 06:03:45,六年窖头曲 路路顺 礼盒,山东
L***f,龙年 礼盒 礼盒 东西 龙年 礼盒 热酒 价格 年前 一盒 送礼 划算 好看,5,2024-02-19 10:35:04,52度 500mL 2瓶 龙行大运礼盒,河北
x***明,老爸 一共 有瓶 正品 行货 香型 口感 质量 挺 好 物流 很快 赞 优惠 赶紧 入手 正品 包装 好 破损 质量 没得说 棒,5,2024-02-08 21:29:25,六年窖头曲 52度500mL 整箱,江西
你***2,产品包装 美观大方 香型 口感 醇厚 客户 回复 很快 物流 快捷 逢年过节 礼品 馈赠 亲朋好友 不错 选择 泸州老窖 老 品牌 口碑 品质 保障 推荐 礼品 馈赠 亲友,5,2024-02-27 14:27:38,52度 500mL 2瓶 春节礼盒,广东
j***e,满意 好 购物 体验,3,2014-08-19 16:23:45,六年陈头曲09版-单瓶装,未知
丑***U,红色 礼盒 拜年 好看 京东 起付 包邮 起付 数额 东西 购买 不用 凑单 价格合理 合适 包装 好 发货 送货 快,5,2024-02-04 12:58:34,52度 500mL 2瓶 龙行大运礼盒,河北
温***咪,过年 买来 老爸 挺 好 上头 价格 适中 京东 效率高 送货 杠杠 送人 压力 就行了 正品,5,2024-02-17 13:33:16,六年窖头曲 52度500mL 整箱,安徽
j***了,包装 新鲜 细心 两个 箱子 保证 安全性 老 品牌 值得 信赖 挺 好 产品 口粮 酒 不二之选 网上 价格 合适 值得 推荐 京东 价格 市场 变化 变化 活动 价格 特别 划算 实体店 事情,5,2024-02-05 16:48:26,六年窖头曲 52度500mL 整箱,陕西
t***9,过年 期间 想 酒 走亲访友 半天 感觉 这款 酒 性价比 高 泸州老窖 十大 名酒 几个 电商 价格 感觉 京东 性价比 更高 送货 快,5,2024-02-23 19:19:28,六年窖头曲 52度500mL 整箱,天津
l***1,过年 家人 新年礼物 送人 不错 整体 包装 仔细 不用 担心 损坏 外面 大箱子 气泡 袋子 填充 完好无损 家人 喜欢,5,2024-02-17 13:32:31,蓝花瓷头曲 52度500mL 礼盒,山东
l***h,过年 走亲戚 提前 备着 包装 大气 上档次 面子 龙年 礼盒 设计 不错 亲戚 收到 直 夸 京东 礼品 值得 信赖,5,2024-02-13 23:35:40,52度 500mL 2瓶 龙行大运礼盒,山西
小***仙,一家人 团聚 喜欢 牌子 酒 味道 好 过年 活动 一单 礼盒装 送人 合适,5,2024-02-02 18:22:54,52度 500mL 2瓶 龙行大运礼盒,浙江
京***3,泸州老窖 这款 酒 三件 这款 酒 到手 包装 严实 京东 值得 信赖 开箱 单瓶 包装盒 这酒 顺口 自饮 送 good,5,2024-02-13 09:03:20,六年窖头曲 52度500mL 整箱,河北
s***5,买来 过年 送人 喜庆 完美 今年过年 回老家 礼品 全在 京东 寄 回去 方便快捷 性价比 高,5,2024-01-30 22:59:32,52度 500mL 2瓶 龙行大运礼盒,四川
f***5,过年 送给 叔叔 礼物 泸州老窖 款 白酒 包装 精美 瓶子 好看 京东 临近 春节 送货 速度 力 晚上 下单 第二天 送达 点赞,5,2024-02-20 09:28:46,52度 500mL 2瓶 蓝花瓷龙年礼盒,上海
c***花,礼盒 红色 装 特别 适合 过年 送礼 外面 红色 礼品袋 送 酒杯 特别 洋气 泸州老窖 品牌 好 性价比 特别 棒,5,2024-02-04 18:19:18,六年窖头曲 路路顺 礼盒,上海
j***K,去年 兔年 送礼 龙 年 送礼 包装 高大 红红火火 过年 送礼 首选 真的 不错 值得 购买,5,2024-01-31 23:23:14,52度 500mL 2瓶 龙行大运礼盒,天津
历***鉴,两箱 红色 喜庆 过年 回村 走亲戚 做伴 手礼 好 选择 这款 酒 口粮 酒 代表 口感 好 经济 实惠 品牌 值得 信赖 品质 保障,5,2024-01-30 21:57:14,六年窖头曲 52度500mL 整箱,广东
j***n,酒 收到 送 第一次 泸州老窖 白酒 物流 很快 半天 送到 送 礼品 包装袋 不错 不错 好显 高档 满意 购物,5,2024-02-07 13:15:20,六年窖头曲 52度500mL 单瓶,江西
王***3,浓香型 白酒 代表 品牌 耳熟能详 高端 产品 国窖 系列 泸州老窖 旗下 喜欢 六年 窖 头曲 凭借着 极高 性价比 成 喜欢 一款 口粮 酒,5,2024-02-07 19:29:34,六年窖头曲 52度500mL 整箱,天津
免***清,宝贝 收到 喜欢 泸州老窖 品牌 老牌子 值得 信赖 买来 送 长辈 nice 家里人 爱喝 酒 说 好喝 活动 划算 还会 囤 一点,5,2024-01-29 14:37:26,六年窖头曲 52度500mL 整箱,江苏
p***好,送礼 包装 喜庆 高端 不到 价格 合算 过年 前 两三天 快递 物流 力 一两天,5,2024-02-21 10:37:42,52度 500mL 2瓶 好事成双礼盒,江西
年***鱼,包装 好 显 档次 太 适合 送人 一点 破损 物流 超级 快 快递 小哥 好 快递 过年 打烊 好 值得 推荐 祝 新年快乐,5,2024-02-08 14:16:48,52度 500mL 2瓶 龙行大运礼盒,山东
j***8,收货 一段时间 想 评价 泸州老窖 很多年 老牌子 包装 设计 喜庆 大气 美观 适合 送人 物流 快 头 下单 第二天 收到 过年 期间 快递 物流 依然 有效率 值得 点赞,5,2024-01-29 18:48:36,52度 500mL 2瓶 春节礼盒,辽宁
我***护,送 挺快 酒 不错 正品 送 礼品袋 子 整体 好评 挺 好 不漏 酒 包装 完整 京东 物流 很快 下次 还会,5,2024-02-05 17:01:56,六年窖头曲 52度500mL 单瓶,河北
j***v,泸州老窖 品牌 直 信赖 包装 京东 商城 物流 服务 一如既往 好 京东 东西 方 放心 特别 满意 好评 好评 服务 五星,5,2024-02-02 13:38:42,六年窖头曲 52度500mL 整箱,天津
j***R,很快 收到 京东 物流 力 包装 完好 礼品袋 还套 箱 不错 没 打开 再来 追平,5,2024-02-04 12:52:10,六年窖头曲 52度500mL 整箱,河南
朱***8,泸州老窖 白酒 收到 包装 完好 破损 京东 物流 超快 快递 员 配送 次日 达 白酒 买来 春节 走亲戚 送人 泸州老窖 白在 国内 有名 反正 牌子 好,5,2024-02-13 08:27:07,六年窖头曲 52度500mL 整箱,安徽
点***4,满意 购物 过年 两瓶 送 老爸 看着 包装 不错 档次 商家 服务 好 发货 神速 物流 力 宝贝 收到 喜欢 放心,5,2024-02-07 12:38:16,六年窖头曲 52度500mL 单瓶,四川
t***r,买来 过年 请 亲戚 吃饭 送 利用 不想 太贵 档次 太低 挺 合适 包装 好 价格便宜 物流配送 满意 准确 购买 页面 显示 送达 时间 配送 京东 物流 过年 打烊 不错 不错 线下 便宜,5,2024-02-17 20:39:47,六年窖头曲 52度500mL 整箱,广东
懒***t,物流 很快 物品 完好无损 超级 喜欢 惊喜 包装 精美 上档次 送人 排头 满意 购物 我会 回购 店家 值得 信赖,5,2024-02-16 10:15:39,52度 500mL 2瓶 龙行大运礼盒,河北
韩***7,泸州老窖 蓝花 瓷头曲 爸爸 喜欢 一款 酒 活动 挺 长时间 没喝 正好 赶上 活动 两箱 真的 特别 划算,5,2024-02-16 15:05:52,52度 1L 6瓶 蓝花瓷头曲大容量,山东
诺***贝,款 礼盒 朋友 推荐 收到 货 感觉 超值 过年 送礼 合适 性价比 高 泸州老窖 品牌 值得 信赖 送 分 酒器 酒杯 盒子 加 气泡膜 放 车里 碰坏 贴心 几箱 囤起,5,2024-01-30 11:56:28,52度 500mL 2瓶 龙行大运礼盒,重庆
奇***3,京东 购物 满意 包装 速度 物流 酒 过年 串亲戚 备货 颜色 很漂亮 适合 过年 气氛 京东 购买 酒水 解放 双手,5,2024-02-15 08:46:09,52度 500mL 2瓶 龙行大运礼盒,北京
夜***8,香型 口感 酒液 厚重 清澈 透亮 酒体 干净 酒花 绵密 外观 品相 外观 品相 完美 保护 好 破损 口感 味道 感 细腻 浓香型 白酒 优雅 醇厚 甘甜 饱满 回味 悠 长 好喝 上头 包装 设计 酒盒 红色 金色 设计 大气 档次 适合 节日 喜事 品牌 老牌子 值得 信赖 包 装 品质 包装 牢固 精美 物流 速度 物流配送 很快 烫 金色 外 观 奢华 贵气 高端 奢华 贵气 服务 服务 好 商品 物超所值 质量 好 价格 卖家 服务态度 好 回复 提供 详细 产品 信息,5,2024-02-04 16:57:03,52度 500mL 2瓶 龙行大运礼盒,福建
水***5,好 物流 很快 东西 力 性价比 高 实体店 区别 便宜 喜欢 物流 产品 不错 性价比 高 赞赞赞,5,2024-02-17 18:03:11,52度 1L 6瓶 蓝花瓷头曲大容量,北京
巴***r,泸州老窖 品牌 酒品 质量 好 这款 酒 购买 品尝 不错 优惠 购买 几箱 留着 慢慢 推荐 购买,5,2024-02-04 10:32:05,六年窖头曲 52度500mL 整箱,山东
j***G,白酒 收到 京东 物流 很快 包装 特别 好看 老公 迫不及待 赶紧 打开 品尝 夸奖 这款 酒 好喝 过年 送礼物 好酒,5,2024-01-30 13:03:18,52度 500mL 2瓶 龙行大运礼盒,广东
j***w,泸州老窖 品牌 送礼 面子 手提袋 礼盒装 更是 更新 龙年 送礼 合适 分 酒器 快递 很快 京东 物流 快 有效率 完美 购物 体验,5,2024-01-30 14:26:36,52度 500mL 2瓶 龙行大运礼盒,广东
多***菇,过年 送人 拿的出手 礼盒 质量 好 设计 感觉 特别 喜庆 泸州老窖 品牌 品质 保障 两瓶 酒 送 分 酒器 酒杯 那种 质量 很差 杯子 不错,5,2024-01-30 09:44:13,52度 500mL 2瓶 龙行大运礼盒,北京
j***l,外包装 两层 盒子 包装 好 还放 三个 红色 包装袋 子 过年 应景 酒 口感 品尝 喝完 追评 总体 感觉 很赞,5,2024-02-02 20:32:37,六年窖头曲 52度500mL 整箱,辽宁
丑***U,好看 送礼 漂亮 京东 起付 包邮 起付 数额 东西 购买 不用 凑单 价格合理 合适 包装 好 发货 送货 快,5,2024-02-04 12:57:05,六年窖头曲 路路顺 礼盒,河北
凭***H,泸州老窖 六年 头曲 入口 很香 大厂 嫡系 品牌 百元 酒 差 关注 买过 好 日期 新 日期 放,5,2024-02-01 16:26:55,六年窖头曲 52度500mL 单瓶,山东
j***糖,京东 商城 购买 商品 款 泸州老窖 酒 包装 特别 好看 礼盒 特别 高大 酒 口感 特别 好 送人 面子 过年 期间 快递 小哥 特别 辛苦 送货 速度 快 京东 值得 信赖 满意 购物,5,2024-02-13 09:32:00,52度 500mL 2瓶 龙行大运礼盒,北京
H***t,包装 设计 大气 喜庆 香型 口感 口感 绵柔 这款 酒 好 包装 正规 破损 正品 口感 不错 送 之选 京东 快递 依旧 隔天,5,2024-02-21 19:09:57,六年窖头曲 路路顺 礼盒,北京
u***o,好 东西 喜欢 独特 味道,5,2024-03-01 00:49:11,六年窖头曲 52度500mL 整箱,江苏
潮***冰,高端 大气 性价比 超高 正品,5,2024-03-01 00:33:38,六年窖头曲 52度500mL 整箱,广东
w***5,几次 特别 逢年过节 家里 老人 必备 酒,5,2024-03-01 00:29:28,六年窖头曲 52度500mL 整箱,浙江
w***5,回购 家里 老人 就认 这款,5,2024-03-01 00:26:17,六年窖头曲 52度500mL 整箱,浙江
风***沃,质量 好 完全符合 卖家 描述 满意 真的 喜欢 超出 预期 发货 速度 很快 包装 仔细 紧 物流 公司 服务态度 好 发货 速度 很快 满意 购物 物美价廉 喜欢,5,2024-03-01 00:20:52,六年窖头曲 52度500mL 整箱,广东
j***6,好酒 好 顺喉 闻着 淡淡的 香气 喝下去 感觉 浓郁 香气 超 喜欢 喝醉 头痛,5,2024-02-29 23:50:31,六年窖头曲 52度500mL 整箱,广东
j***c,口味 不冲 大气 漂亮 好 包装 好看 酒质 优美 口味 不冲 大气 漂亮 好 包装 好看 酒质 优美 口味 不冲 大气 漂亮 好 包装 好看 酒质 优美,5,2024-02-29 23:50:31,52度 500mL 2瓶 龙行大运礼盒,山东
随***s,挺不错 老人,5,2024-02-29 23:48:38,六年窖头曲 52度500mL 整箱,江苏
h***1,好 喜欢 京东 京东 PLUS 会员 常在 京东 东西 订单 太 不想 产品 写 好评 特地 写下 模板 评论 涨 积分 好评 重要性 妥妥 每条 评论 赚 积分 下次 抵 现金 评论 字 个京豆 东西 段话 复制粘贴 凑够 字数 N 次 京东 东西 东西 便宜 质量 好 物美价廉 放心 开心 感觉 上瘾 买买 停不下来 东西 品种 特别 全 划算 实惠 包装 好 损坏 支持 服务 超级 好用 好评 下次 收起 购物车 购买,5,2024-02-29 23:45:40,六年窖头曲 52度500mL 整箱,四川
明***东,活动 价格便宜 性价比 超高 真的 特别 划算,5,2024-02-29 23:43:25,52度 1L 6瓶 蓝花瓷头曲大容量,福建
叽***喵,礼盒 包装 好看 送 长辈 面子,5,2024-02-29 23:38:12,52度 500mL 2瓶 龙行大运礼盒,广西
j***w,礼盒 好看 看着 大气,5,2024-02-29 23:26:09,52度 500mL 2瓶 龙行大运礼盒,广东
漆***马,年 完 酒 喝完 性价比 高,5,2024-02-29 23:24:57,六年窖头曲 52度500mL 整箱,四川
u***u,节前 三天 下单 送回 乡下 送 不到 如期而至 欣慰,5,2024-02-29 23:24:38,六年窖头曲 52度500mL 整箱,陕西
再***0,临时 请人 吃饭 超级 速度 京东 速度 牛,5,2024-02-29 23:23:17,六年窖头曲 52度500mL 单瓶,浙江
百***5,入口 柔 中段 感受 辣味 伴随 醇厚 窖 香 异杂味 干净 香气 感受 酒液 醇厚 圆润 独特 立体感 陶醉 展现 浓香型 白酒 独特 魅力 尤 值得一提的是 带来 暴香感 令人 印象 深刻 回味无穷 口感 香味 泸州老窖 年 窖 头曲 完全符合 好酒 标准,5,2024-02-29 23:16:06,六年窖头曲 52度500mL 单瓶,陕西
j***7,泸州老窖 不错 值得 推荐 粮食 酒 勾兑 喝多 头 疼,5,2024-02-29 23:04:29,六年窖头曲 52度500mL 整箱,江苏
j***9,酒 新年 买来 送人 看着 喜庆 礼盒 包装 上档次,5,2024-02-29 22:59:38,52度 500mL 2瓶 龙行大运礼盒,四川
l***u,值得 关注 购买 新年 家人 说 好喝 回购,5,2024-02-29 22:47:57,52度 500mL 2瓶 龙行大运礼盒,上海
亡***涯,那天 喝得 开心,4,2024-02-29 22:33:26,六年窖头曲 52度500mL 整箱,上海
j***l,酒 挺 好 值得 购买,5,2024-02-29 22:31:22,六年窖头曲 52度500mL 单瓶,广东
j***O,包装 破损 瓶子 无漏 酒 完美 购物 满意 观其色 酒体 清澈 透亮 杂志 酒花 挂杯 细腻 闻其香 芳香 馥郁 酒精 刺鼻 气味 品其酒 入口 绵甜 醇厚 甘冽 余味 净爽 回味 悠长 总体 一款 不错 亲民酒 性价比 高 值得 推荐 饮用,5,2024-02-29 22:31:07,六年窖头曲 52度500mL 整箱,福建
隔***儿,宝贝 确实 很棒 喜欢 朋友 说好 推荐 购买 发货 很快 包装 好 价格 特别 实惠 功效 不错 值得 购买,5,2024-02-29 22:24:46,六年窖头曲 52度500mL 整箱,广东
y***r,感觉 好,5,2024-02-29 22:20:07,52度 500mL 2瓶 龙行大运礼盒,新疆
j***铭,不错 购买 价格合理,5,2024-02-29 22:19:35,六年窖头曲 52度500mL 整箱,河南
欢***3,知名品牌 价格 实惠 口味 纯正,5,2024-02-29 22:17:25,六年窖头曲 52度500mL 单瓶,天津
h***7,好喝 白酒 购买,5,2024-02-29 22:17:06,六年窖头曲 52度500mL 整箱,天津
王***有,信赖 京东 京东 产品 保障,5,2024-02-29 22:14:59,52度 500mL 2瓶 龙行大运礼盒,山东
小***8,这款 酒 口感 不错 平常 请客 挺 合适 过年 走亲访友 不错 选择 京东 快递 送货上门 方便快捷 推荐 购买,5,2024-02-29 22:13:53,六年窖头曲 52度500mL 单瓶,湖南
伽***9,品质 不错 性价比 高 商品 喜欢 亲 下手 犹豫,5,2024-02-29 22:10:34,52度 500mL 2瓶 春节礼盒,山东
b***1,好 包装 精美 正品,5,2024-02-29 22:03:16,六年窖头曲 瑞兔呈祥 礼盒,陕西
一***1,好 东西 家人 喜欢 这款 酒,5,2024-02-29 22:02:18,六年窖头曲 52度500mL 整箱,广东
S***D,帮 同事 味道 说 性价比 高 没 评论 京豆 说 希望 送 两瓶 小样 谢谢,5,2024-02-29 21:56:01,六年窖头曲 52度500mL 整箱,江西
桃***儿,家里 听说 不错 价格 相符,4,2024-02-29 21:53:30,52度 500mL 2瓶 蓝花瓷龙年礼盒,山东
t***6,推荐 购买 购买 两箱 礼盒,5,2024-02-29 21:44:27,六年窖头曲 52度500mL 整箱,重庆
j***u,卖 爸爸 爸爸 喜欢 喝酒 份量 足 购了 年,5,2024-02-29 21:43:08,52度 1L 6瓶 蓝花瓷头曲大容量,江苏
f***p,品牌 放心 京东 活动 给力 物流 速度快 两层 包装箱 入口 绵 一下子 一箱 窖 香 浓郁 送个 手提袋 知心 包装 不错,5,2024-02-29 21:41:13,六年窖头曲 52度500mL 整箱,天津
阿***人,京东 平台 好 宝贝 外包装 精美 文字 低调 内涵 好 送礼 佳品 下次,5,2024-02-29 21:39:50,52度 500mL 2瓶 蓝花瓷龙年礼盒,上海
j***t,双买 一箱 第二次 六年 头曲 朋友 说 好 临近 年末 送礼 宴请 选之品 六年 陈酒 新 酒 感觉 买来 品鉴,5,2024-02-29 21:38:34,六年窖头曲 瑞兔呈祥 礼盒,浙江
j***j,连续 两年 去年 兔子 包装 过年 送礼 老家人 特别 合适 价格 太贵 关键 大气 设计 感 提个 建议 泸州老窖 内包装 纸盒 LOW 参照 外包装 搞个 特别 设计 更好,5,2024-02-29 21:38:01,52度 500mL 2瓶 龙行大运礼盒,广东
s***6,买过 感觉 不错,5,2024-02-29 21:30:36,六年窖头曲 52度500mL 整箱,陕西
幸***1,好好 好 物美价廉 值得 推荐,5,2024-02-29 21:22:06,蓝花瓷头曲 52度500mL 礼盒,河北
渐***8,礼盒 很漂亮 看着 高大,5,2024-02-29 21:15:27,52度 500mL 2瓶 龙行大运礼盒,吉林
蓓***Y,包装 设计 包装 好看 物流 速度 送货 很快,5,2024-02-29 21:12:33,六年窖头曲 瑞兔呈祥 礼盒,四川
张***涵,舅舅 酒 包装 好 瓷瓶 酒 次,5,2024-02-29 21:07:43,52度 500mL 2瓶 龙行大运礼盒,北京
j***5,老公 评价 高,5,2024-02-29 21:01:06,52度 500mL 2瓶 龙行大运礼盒,湖北
j***r,老爸 说 好喝 值得 拥有 值得 回购,5,2024-02-29 21:00:25,六年窖头曲 52度500mL 整箱,广东
侯***淼,收到 货品 好长时间 没 时间 评论 终于 时间 评论 宝贝 看着 不错 活动 特别 划算 真的 物美价廉 宝贝 挺 好 挺 好 物流 好快 放心使用 棒 值得 购买 下次 完 店家 态度 解决问题,5,2024-02-29 20:59:39,52度 500mL 2瓶 蓝花瓷龙年礼盒,江西
y***1,过年 出门 送人用 龙年 礼盒 包装 很漂亮 送礼 合适 这酒 味道 不错 过年 提前 正好 活动 价格 实惠 送货到 家 服务 好,5,2024-02-29 20:48:01,52度 500mL 2瓶 龙行大运礼盒,北京
u***6,挺 好 小姐姐,5,2024-02-29 20:46:18,52度 500mL 2瓶 龙行大运礼盒,河北
风***沃,质量 好 完全符合 卖家 描述 满意 真的 喜欢 超出 预期 发货 速度 很快 包装 仔细 紧 物流 公司 服务态度 好 发货 速度 很快 满意 购物 物美价廉 喜欢,5,2024-02-29 20:44:37,52度 500mL 2瓶 龙行大运礼盒,广东
j***2,口感 纯正 注要 上头,5,2024-02-29 20:43:05,六年窖头曲 52度500mL 整箱,河南
j***t,京东 自营 值得 信赖 送货 快 品质 保证,5,2024-02-29 20:41:31,六年窖头曲 52度500mL 整箱,吉林
j***A,商品 高端 大气 上档次 春节 走亲访友 不错,5,2024-02-29 20:39:23,六年窖头曲 52度500mL 整箱,北京
j***l,哈哈哈哈 安娜 哈哈哈 江南 岸,5,2024-02-29 20:38:56,六年窖头曲 52度500mL 整箱,河北
u***4,还会 不错 下次 好多,5,2024-02-29 20:33:04,六年窖头曲 52度500mL 整箱,湖南
爱***我,不错 酒 送礼 说 性价比 极高 面子 包装 精美 送 长辈 送 老人 不错 泸州老窖 牌子 放心 龙年 包装 很棒 推荐,5,2024-02-29 20:30:48,52度 500mL 2瓶 龙行大运礼盒,天津
没***法,送货 超快 口感 好 价格 不贵,5,2024-02-29 20:30:28,六年窖头曲 瑞兔呈祥 礼盒,重庆
紫***涯,包装 大气 物美价廉 送礼 佳品,5,2024-02-29 20:26:53,52度 500mL 2瓶 龙行大运礼盒,江苏
c***l,酒香 浓郁 口感 醇厚 喝完 再来,5,2024-02-29 20:26:26,52度 500mL 2瓶 春节礼盒,上海
j***j,不错 浓香型 天花板 想象 中 好 下次 还会,5,2024-02-29 20:21:54,六年窖头曲 52度500mL 整箱,河南
o***F,京东 购物 一如既往 快速 优质服务 从生 孩子 京东 购物 物流 优先 快递 小哥 礼貌 体验 感 一如既往 好 非常感谢 京东,5,2024-02-29 20:21:25,六年窖头曲 路路顺 礼盒,广东
U***A,家里 老人,5,2024-02-29 20:19:32,六年窖头曲 52度500mL 单瓶,广东
赵***啊,看着 不错,5,2024-02-29 20:18:24,52度 500mL 2瓶 龙行大运礼盒,河北
盛***子,好几年 性价比 之王,5,2024-02-29 20:18:02,六年窖头曲 52度500mL 整箱,辽宁
小***嘟,酒 挺不错 喝完,5,2024-02-29 20:16:41,六年窖头曲 52度500mL 整箱,山东
j***x,高端 大气 适合 送礼 价格 划算 还会 回购,5,2024-02-29 20:13:29,蓝花瓷头曲 52度500mL 礼盒,北京
啊***哟,包装 设计 好看 好 挺 适合 送礼,5,2024-02-29 20:05:34,52度 500mL 2瓶 龙行大运礼盒,山东
j***k,购买 放心 购买 好酒,5,2024-02-29 20:02:50,六年窖头曲 52度500mL 整箱,安徽
j***z,酒味 口感 好 舒服 上头,5,2024-02-29 19:42:16,六年窖头曲 52度500mL 单瓶,陕西
v***i,质量 不错 价格 算,5,2024-02-29 19:42:08,六年窖头曲 52度500mL 单瓶,广东
没***面,首评 包装 最先 感受 包装 很大 气 酒 保护 到位 花 心思 兔年 送人 喜庆 酒杯 自饮 合适,5,2024-02-29 19:36:16,52度 500mL 2瓶 龙行大运礼盒,广东
丿***木,口感 好 上头 包装 高大,5,2024-02-29 19:35:29,52度 500mL 2瓶 龙行大运礼盒,江苏
g***1,包装 到位 mdash 礼盒 很漂亮 春节 前 活动 优惠 性价比 高 赞,5,2024-02-29 19:30:49,52度 500mL 2瓶 龙行大运礼盒,湖北
s***9,性价比 高 下次 还会,5,2024-02-29 19:25:44,六年窖头曲 52度500mL 单瓶,河北
g***y,泸州老窖 特曲 品牌 信得过 真的 喜欢 超出 期望值 发货 速度 快 包装 仔细 严实 运送 速度 很快 满意 购物,5,2024-02-29 19:24:59,六年窖头曲 52度500mL 整箱,云南
j***B,挺 好 没 打开 品牌 信任,5,2024-02-29 19:24:17,六年窖头曲 52度500mL 单瓶,山东
j***e,出头 一瓶 到手 价格 挺不错,5,2024-02-29 19:19:17,六年窖头曲 52度500mL 整箱,浙江
孤***j,好喝 入口 不错 下次 值得 收藏,5,2024-02-29 19:16:55,六年窖头曲 52度500mL 整箱,湖北
c***8,物流 速度 京东 送货 快 选择 京东 自营 购物 泸州老窖 送 不错,5,2024-02-29 19:12:05,六年窖头曲 52度500mL 整箱,四川
V***u,不错 泸州老窖 味,5,2024-02-29 19:07:43,六年窖头曲 52度500mL 整箱,广东
欧***酱,包装 好看 高端 大气 上档次,5,2024-02-29 19:06:34,52度 500mL 2瓶 龙行大运礼盒,湖南
s***8,礼盒 很漂亮 适合 过年 送礼 度 老酒 民 口粮 酒 大厂 产品 值得 购买 发货 一如既往 地快 包装 完好 损坏 配有 精美 礼盒 适合 百姓 消费,5,2024-02-29 19:02:01,52度 500mL 2瓶 春节礼盒,河北
呓***8,酒 挺 好 送给 家里 老人 挺 好,5,2024-02-29 19:01:37,52度 500mL 2瓶 龙行大运礼盒,安徽
j***e,便宜 实惠 好多 宝贝 一如既往 好 性价比 高 品牌 值得 信赖,5,2024-02-29 19:01:25,六年窖头曲 52度500mL 单瓶,浙江
w***4,终于 发现 一款 口粮 酒 接待 好喝 打头 看着 大气,5,2024-02-29 19:00:24,六年窖头曲 52度500mL 整箱,云南
老***王,喝酒 京东 自营 真酒 保障 质量 好 包装 仔细 严实 物流 公司 服务态度 好 运送 速度 很快 双十 买些 酒放个 年 口感 更好,5,2024-02-29 19:00:18,六年窖头曲 52度500mL 整箱,云南
j***q,箱 没喝,5,2024-02-29 18:44:07,六年窖头曲 52度500mL 整箱,广东
兮***悠,第一次 京东 购买 泸州老窖 六年 窖 头曲 购物 体验 好 包装 完整 两瓶 赠送 购物袋 送人 日常 口粮 酒 包装 设计 好 服务 好 物流 速度 快,5,2024-02-29 18:33:40,六年窖头曲 52度500mL 单瓶,江苏
